source_database	object_type	object_name	lifecycle	disposition	target_owner	fixture_case	parity_category	pii_class	retention_policy	cutover_writer	follow_up
auth	extension	uuid-ossp	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
auth	table	public.schema_migrations	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
auth	sequence	public.schema_migrations_id_seq	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
auth	table	public.consent_history	active	migrate	identity	none	privacy-retention	pii	pii-lifecycle	apps/api:identity	VAY-1352
auth	table	public.cookie_consent	active	migrate	identity	none	privacy-retention	pii	pii-lifecycle	apps/api:identity	VAY-1352
auth	table	public.email_change_tokens	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.email_verification_codes	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.email_verification_tokens	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.gdpr_requests	active	migrate	identity	none	privacy-retention	pii	pii-lifecycle	apps/api:identity	VAY-1352
auth	table	public.login_audit_log	active	transform	platform	platform-jobs-events-audit	audit-events	pii	pii-lifecycle	apps/api:platform	VAY-1352
auth	table	public.login_rate_limit	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.password_reset_tokens	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.totp_recovery_codes	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.totp_secrets	active	snapshot_only	none	none	retired-sources	pii	rollback-window	none	VAY-1352
auth	table	public.users	active	transform	identity	identity-organization-links	identity	pii	pii-lifecycle	apps/api:identity	VAY-1352
booking	extension	uuid-ossp	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
booking	table	public.schema_migrations	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
booking	sequence	public.schema_migrations_id_seq	active	snapshot_only	none	none	schema-fingerprint	none	migration-evidence	none	VAY-1351
booking	table	public.booking_addons	active	transform	booking	booking-checkout	booking-addons	private	domain-record	apps/api:booking	VAY-1355
booking	table	public.booking_events	active	transform	booking	booking-checkout	booking-events	pii	pii-lifecycle	apps/api:booking	VAY-1355
booking	table	public.booking_hotel_translations	active	transform	hotel_catalog	property-catalog-public-profiles	catalog-locales	private	domain-record	apps/api:hotel-catalog	VAY-1354
booking	table	public.booking_hotels	active	transform	hotel_catalog	property-catalog-public-profiles	property-catalog	pii	pii-lifecycle	apps/api:hotel-catalog	VAY-1354
